"player_id","age","pace","shooting","passing","dribbling","defending","physic"
"231866","28","66","80","86","84","87","85"
"209331","32","89","89","86","90","45","76"
"252371","21","80","86","83","88","78","85"
"239085","23","88","92","70","81","45","88"
"238794","23","95","85","81","91","29","69"
"231747","25","97","89","81","92","36","77"
"203376","32","78","60","72","72","90","87"
"202126","30","65","93","83","82","49","82"
"256630","21","80","82","89","90","51","67"
"212831","31","86","85","85","89","56","90"
"192985","33","67","87","93","85","65","74"
"192119","32","85","89","76","90","46","88"
"188545","35","75","89","79","86","44","84"
"256790","21","83","82","79","90","65","65"
"246669","22","86","83","84","88","60","73"
"239053","25","88","83","84","84","80","84"
"233419","27","91","84","83","87","53","74"
"231478","26","81","88","75","84","51","85"
"212622","29","66","74","89","84","82","77"
"205452","31","82","55","73","70","86","86"
"200389","31","85","90","78","87","46","86"
"192448","32","85","85","89","90","47","85"
"257534","22","77","85","87","87","50","67"
"251854","21","77","69","83","89","73","75"
"243715","23","82","39","70","74","87","83"
"237383","25","74","46","75","76","87","83"
"234378","25","73","73","84","79","84","85"
"232580","26","69","41","63","63","88","83"
"232293","25","91","85","65","81","42","82"
"231443","27","92","82","82","88","43","61"
"230621","25","90","83","70","89","52","85"
"224232","27","80","78","84","87","80","82"
"222665","25","70","81","89","88","67","66"
"215698","28","84","83","85","88","64","84"
"213331","28","71","38","60","63","87","85"
"207865","30","79","56","75","74","89","81"
"194765","33","78","86","86","88","59","76"
"177683","35","83","82","85","89","50","87"
"158023","37","79","85","85","89","33","64"
"277643","16","84","79","82","89","23","53"
"246191","24","85","86","81","87","57","79"
"243812","23","89","81","80","88","31","64"
"241651","26","90","85","72","81","36","91"
"241486","25","84","47","73","76","86","81"
"239837","25","69","82","85","85","77","77"
"239818","27","60","39","70","69","86","86"
"239580","27","82","50","58","66","86","85"
"237692","24","84","83","83","89","57","63"
"235212","25","92","76","80","81","77","79"
"235073","26","87","83","64","87","44","86"
"233731","24","86","85","73","86","39","75"
"232656","26","93","76","78","83","79","86"
"231281","25","76","72","90","80","80","74"
"228702","27","82","69","85","87","77","77"
"220901","28","85","83","87","87","62","84"
"215441","28","71","86","75","83","40","81"
"212198","29","70","84","88","83","65","75"
"211110","30","80","85","84","88","41","65"
"210257","30","85","82","91","85","64","84"
"208128","30","71","81","87","82","80","77"
